q_id,category,question,answer_state,answer_text,raw_prefix,raw_suffix,norm_prefix,norm_suffix
q45,nat,has the warmest average annual temperature,FL,"With an average annual high temperature across the state of almost 82 degrees, Florida is our warmest state.  Thermophobic? Try North Dakota: a chilly 52 degrees!",The average high temp is,"across the state,",which is,the national average per state.
q46,econ,has the most miles of paved roads,TX,"The nearly 315,000 miles of paved roads in Texas account for about 7.5% of the US total.  Wee Rhode Island has the fewest miles of paved roads at 6,000 miles.",There are a total of,"miles of paved roads in the state,",which is,% of the US total.
q47,nat,is the most humid (highest average dew point),FL,"The average dew point over the entire year is a whopping 62.7&#176;F in Florida, exceeding 75&#176;F during the summer.  Wyoming is driest with an average of only 26.9&#176;F annually.",The average relative humidity is,"% throughout the year,",with an average dew point of,&#176;F annually.
q48,phys,is the most urban,NJ,"Almost 2 million acres of New Jersey are urban, consuming over 40% of the total land area in the state.  Maybe their motto should be 'The Planter Garden State'!",Total urban acreage is,"in the state,",which is,% of the state's total area.
q49,nat,has the highest percentage of land burned in wildfires,WA,"Over 488,000 acres are burned in Washington each year, which is 1.2% of all the rural land in the state.  California loses 960,000 acres/year, the most overall.",An average of,"acres are burned each year,",which is,% of the state's total rural land.
q50,phys,has the highest river density,PA,"With over 83,200 miles of river, Pennsylvania is where you're most likely to get your hiking boots wet.  That's almost 2 miles of river for every square mile of land.",There are,"miles of river in the state,",which is,miles of river per sq mi of land.
q51,phys,has the most shoreline,FL,"Florida's 8,400 miles of shoreline account for over 14% of the US total.  Indiana has the least with 45 miles of shoreline, other than the 20 states with none.",There,"shoreline in the state,",which is,% of the US total.
q52,econ,has the highest rangeland density,NV,"Over 52 million acres of rangeland account for almost 75% of the total land area in Nevada.  Texas has twice the acreage of Nevada, which is the most overall.",There are,"acres of rangeland in the state,",which is,% of the state's total area.
q53,phys,has the most land used by the military,NV,"4.3 million acres of Nevada are reserved for the US military, which is 17% of all military land in the US.  Just 14 states account for over 90% of all US military land.",There are,"acres of military land in the state,",which is,% of the US total.
q54,econ,has most total cropland,KS,"Kansas just ekes past Iowa with 25.5 million acres of cropland, or 8.2% of all US cropland.  16 states in the Midwest & Great Plains account for 82% of the US total.",There are,"acres of cropland in the state,",which is,% of the US total.
q55,demo,has the highest percentage of English-only speakers,WV,"Almost 97% of all the residents of West Virginia are English-only speakers.  Californians are the most multilingual, as 43% speak more than one language.",There are,"English-only speakers in the state,",which is,% of the state population.
q56,demo,has the most Italian immigrants,CT,Over 20% of Connecticut residents are Italian immigrants.  Not so into pasta?  Only 1% of North Dakotans trace their roots to Italy.  ,There are,"Italian immigrants in the state,",which is,% of the state population.
q57,demo,has the highest poverty rate,MS,"Mississippi holds this ignoble position, unfortunately, with almost 20% of its population living in poverty, a rate that is 52% above the national average.",There are,"residents living in poverty,",which is,% of the state population.
q58,phys,has the most Indian Reservation land,AZ,"Arizona has nearly 20 million acres of Indian Reservation land, which is 27% of the state's total area.  17 states have no recognized Indian Reservation land.",There,"Indian Reservation land in the state,",which is,% of the total reservation land in the US.
q59,demo,has the most Peruvian immigrants,FL,"There are over 128,000 Peruvian immigrants living in Florida, which is 19% of all Peruvians living in the US.  There are 8 states that have no Peruvians.  What's up with that?",There are,"Peruvian immigrants in the state,",which is,% of the US total.
q60,nat,is the windiest,NH,"With three mountains ranked among the windiest places in the US, New Hampshire is our windiest state overall, with an statewide average daily windspeed over 20 MPH!",The average statewide windspeed is,"MPH,",which is,the national average.
q61,nat,has the highest concentration of fossils,DE,"Texas has had the most fossil discoveries overall, but the 1,300 fossils discovered in Delaware make it tops on this list, with 68 fossils per 100 sq mi.",There have been,"fossils discovered in the state,",which is,fossils per 100 sq mi.
q62,econ,produces the most cheese,WI,"There are 200 dairy processing plants in Wisconsin that produce over 15% of all processed diary foods in the US: cheese, butter, ice cream, etc.",There are,"dairy processing plants in the state,",which is,% of the US total.
q63,econ,grows the most soybeans,IL,"11 million acres are planted in soybeans in Illinois, which is 30% of the state's total area, and  12% of total US soybean production.",There are,"acres planted in soybeans,",which is,% of total US production.
q64,phys,is the most mountainous,CO,"There are 335 major mountain peaks with an average elevation gain of 2200 peak-ft/100acres, making Colorado our most mountainous state overall.",There are,"major mountain peaks in the state,",with an average elevation gain of,peak-ft/100acres.
q65,phys,has the largest inland lake,UT,"Utah's Great Salt Lake has over 1 million acres of surface area, which is almost 2.5 times as large as the second largest lake in Florida.",Covering a surface area of,"acres,",,is the largest lake in the state.
q66,demo,"has produced the most presidents, vice presidents & supreme court justices",NY,"Over 13% of all the presidents, vice presidents & supreme court justices in US history have hailed from New York.  14 states have produced none.  Maybe next election?",There have been,"execs & judics from the state,",which is,% of all such in US history.
